br
c
c1
c2
c3
ca
cc
cd
ce
cf
cg
ch
cl
cp
cq
cs
cu
cv
cx
cy
cz
f
h1
h2
h3
h4
h5
ha
hc
hn
ho
hp
hs
HW
hx
i
n
n+
n1
n2
n3
n4
n7
n8
n9
na
nb
nc
nd
ne
nf
nh
no
ns
nt
nu
nv
nx
ny
nz
NZ
o
oh
os
OW
p2
p3
p4
p5
pb
pc
pd
pe
pf
px
py
s
s2
s4
s6
sh
ss
sx
sy
2C
3C
Br
c
C*
C0
c1
c2
c3
C4
C4
C5
C8
CA
CB
cc
CC
cd
CD
ce
cf
cg
ch
CI
CJ
CK
CK
Cl
CM
CN
CO
CO
cp
CP
cq
CQ
CQ
CR
cs
CS
Cs
CT
cu
CU
cv
CV
CV
CW
CW
cx
CX
cy
CY
cz
CZ
CZ
EP
EP
f
F
FE
H
h1
h2
H3
h4
h5
ha
HA
hc
HK
hn
ho
hp
HP
hs
HT
hw
HW
hx
HZ
I
IB
IM
IP
K
Li
LP
M1
M2
M4
MG
N
n
N*
n+
n1
n2
N2
N2
n3
N3
n4
n7
n8
n9
na
NA
Na
nb
NB
NB
NB
nc
NC
nd
ND
ND
ne
NE
nf
nh
NH
NL
NL
no
NP
ns
nt
NT
NT
nt
nu
nv
nx
ny
NY
ny
nz
o
O
O
O2
O3
O3
O4
OA
OA
OD
OD
oh
OM
OP
os
OT
ow
OW
P
p3
p4
p5
pb
pc
pd
pe
pf
px
py
QC
QK
QL
QN
QR
Rb
s
S
S*
s2
s4
s6
SF
sh
SH
SG
ss
sx
sy
TA
TG
TG
TH
TJ
TM
TN
TN
TP
W
ZN
Zn
